PROFOTO GENERATORI
BRONCOLOR  SCORO GENERATORE  S 3200W
BRONCOLOR GENERATORE VERSO A BATTERIA KIT
BRONCOLOR KIT MOVE 1200W A BATTERIA
BRONCOLOR VERSO A4 KIT A BATTERIA

BRONCOLOR ACCESSORI
Descrizione
BRONCOLOR MOVE BATTERIA
BRONCOLOR VERSO BATTERIA
BRONCOLOR MOVE CARICA BATTERIE
BRONCOLOR VERSO CARICA BATTERIE

BRONCOLOR TORCE
Descrizione
BRONCOLOR TORCIA BITUBO 6400W.
BRONCOLOR LITESTICK
BRONCOLOR SMALL PICOLITE
BRONCOLOR RING LIGHT 3200W
BRONCOLOR TORCIA STICK LITE
BRONCOLOR TORCIA SUNLIGHT
BRONCOLOR TORCIA PULSO4 3200W,FOC. KIT

BRONCOLOR SPOTS/SAGOMATORI
Descrizione
BRONCOLOR ADATTATORE DI PROIEZIONE 150 MM /FRESNEL
BRONCOLOR SPOT FRESNEL (FLOOTE)
BRONCOLOR SPOT FRESNEL PULSOSPOT4 3200W CON ALETTE
BRONCOLOR ADATTATORE RING / PARA
BRONCOLOR ALETTE PER PARABOLA P70
BRONCOLOR ALETTE PER SUNLIGHT
BRONCOLOR BALLOON
BRONCOLOR CONO PER TORCE
BRONCOLOR SERIE DI 12 MASCHERE GOBO
ROSCO SERIE DI 8 MASCHERE GOBO
BRONCOLOR SET 3 GRIGLIE PER PARABOLA P45
BRONCOLOR SET 3 GRIGLIE PER PARABOLA P50
BRONCOLOR TRASMETTITORE RFS
BRONCOLOR SET 3 GRIGLIE P70
BRONCOLOR SET 3 GRIGLIE P65
OMBRELLO ARGENTO 105 CM
OMBRELLO  BIANCO 105 CM
BRONCOLOR GRIGLIA X OMBRELLO PARA FB 88
BRONCOLOR PICOBOX
BRONCOLOR ADATTATORE PER PICOLITE
BRONCOLOR FRESNEL PER SMALL PICOLITE
BRONCOLOR SET GRIGLIE PER SMALL PICOLITE
BRONCOLOR SAGOMATORE PER PICOLITE
BRONCOLOR PROLUNGA TORCIA
BRONCOLOR MOVE PROLUNGA CAVO TORCIA
BRONCOLOR RFS TRASMETTITORE
BRONCOLOR CAVO SINCRO 5 MT
BRONCOLOR TELECOMANDO SERVOR 3

BRONCOLOR PARABOLE
Descrizione
BRONCOLOR DIFFUSORE PER P-SOFT
BRONCOLOR DIFFUSORE ANULARE
BRONCOLOR GRIGLIA PER PARABOLA P 65
BRONCOLOR GRIGLIA PER P-SOFT
BRONCOLOR GRIGLIA PER PARABOLA STARO
BRONCOLOR PARABOLA P120
BRONCOLOR PARABOLA P50
BRONCOLOR PARABOLA P65 (MAGNUM)
BRONCOLOR PARABOLA P70 (STANDARD)
BRONCOLOR PARABOLA ARGENTO P-SOFT
BRONCOLOR PARABOLA BIANCA P-SOFT
BRONCOLOR PARABOLA PAR
BRONCOLOR PARABOLA PORTA OMBRELLO
BRONCOLOR PARABOLA P-TRAVEL
BRONCOLOR PARABOLA SATELLITE
BRONCOLOR STAFFA PORTA OMBRELLO
BRONCOLOR PARABOLA SATELLITE STARO
BRONCOLOR BANK PULSOFLEX EM 80X140
BRONCOLOR ELINCHROM BANK OCTA ADATTATO
BRONCOLOR OMBRELLO PARA FB 133
BRONCOLOR OMBRELLO PARA FB 170
BRONCOLOR OMBRELLO PARA FB 177
BRONCOLOR GRIGLIA X  PARA FB 177
BRONCOLOR OMBRELLO PARA FB 220
BRONCOLOR OMBRELLO PARA FB 222
BRONCOLOR OMBRELLO PARA FB 88
BRONCOLOR BANK PULSOFLEX EM 80X80 CM.
BRONCOLOR STRIPLIGHT 120 EVOLUTION
BRONCOLOR STRIPLIGHT  60 EVOLUTION

ELINCHROM GENERATORI
Descrizione
ELINCHROM GENERATORE 3000W CLASSIC
ELINCHROM KIT CLASSIC 3000
ELINCHROM RANGER QUADRA 400W KIT
ELINCHROM RANGER QUADRA 400W BATTERIA
ELINCHROM RANGER QUADRA 400W CARICABATTERIA
ELINCHROM RANGER QUADRA 400W GENERATORE
ELINCHROM RANGER QUADRA 400W TORCIA

ELINCHROM TORCE
Descrizione
ELINCHROM TORCIA X6000N BITUBO
ELINCHROM TORCIA ANULARE
ELINCHROM TORCIA S3000N

ELINCHROM SPOTS/SAGOMATORI
Descrizione
BRONCOLOR GRIGLIA PER SPOT FRESNEL
ELINCHROM SPOT FRESNEL

ELINCHROM ACCESSORI
Descrizione
ELINCHROM ANELLO ADATTATORE RQ-EL
ELINCHROM KIT 4 ALETTE PER PARABOLA 21 C
ELINCHROM CONO
ELINCHROM OMBRELLO ARGENTO 85 CM.
ELINCHROM OMBRELLO BIANCO 105 CM.
ELINCHROM OMBRELLO BIANCO 81 CM.
ELINCHROM PORTACCESSORI 21CM
ELINCHROM PROLUNGA TORCIA RQ
ELINCHROM PROLUNGA SINCRO 5 MT.
ELINCHROM PROLUNGA  TORCIA
ELINCHROM SET DI 3 GRIGLIE CON PORTACCES
ELINCHROM CAVO SINCRO ELINCHROM 5MT
ELINCHROM GRIGLIA SQUARELIGHT
ELINCHROM PARABOLA MAXI SOFT INT. ARGENT
ELINCHROM PARABOLA MAXI SOFT INT. BIANCO
ELINCHROM PARABOLA 26 CM. 45°
ELINCHROM MINISOFT BIANCO 44 CM.
ELINCHROM PARABOLA GRANDANGOLARE
ELINCHROM PARABOLA STANDARD 21 CM.
ELINCHROM SQUARE LIGHT 40X40 CM.

ELINCHROM BANKS
Descrizione
ELINCHROM ADATTAT. DA BRONCOLOR LITEMOTIV
ELINCHROM ADATTATORE PROFOTO X LITEMOTIV
ELINCHROM BANK  RANGER QUADRA 40X40
ELINCHROM LITEMOTIV 190 PARABOLIC
ELINCHROM INDIRECT OCTA190 ADATTATO:
ELINCHROM LIGHTTOOLS GRIGLIA PER OCTA 190CM CON FRAME
ELINCHROM QUADRA LIGHT 145X145
ELINCHROM RECTA LIGHT 72X175
ELINCHROM ROTALUX SOFTBOX DEEP OCTA 100CM
ELINCHROM ROTALUX SOFTBOX OCTA 135 CM.
ELINCHROM ROTALUX DIRETTO/INDIR. 150CM.
ELINCHROM ROTALUX SOFTBOX  OCTA 175
ELINCHROM ROTALUX SOFTBOX DEEP OCTA 70CM

ARRI HMI DAYLIGHT COMPACT
Descrizione
ARRI HMI DAYLIGHT 12/18 KW  F.F  COMPACT
ARRI HMI DAYLIGHT 1200W F.F / COMPACT
ARRI HMI DAYLIGHT 125W F.F. / COMPACT
ARRI HMI DAYLIGHT  200W F.F. / COMPACT
ARRI HMI DAYLIGHT 2500W F.F / COMPACT
ARRI HMI DAYLIGHT 4000W F.F / COMPACT
ARRI HMI DAYLIGHT 575W F.F / COMPACT
ARRI HMI DAYLIGHT 6000W F.F / COMPACT
ARRI D12 - 1200W  HMI F.F.DAYLIGHT
ARRI D25 - 2500W  HMI F.F.DAYLIGHT
ARRI D5 - 575W  HMI F.F.DAYLIGHT

ARRI HMI DAYLIGHT FULL
Descrizione
ARRI HMI DAYLIGHT 4000W F.F / FULL SIZE
ARRI HMI DAYLIGHT 6000W F.F / FULL SIZE

ARRI ACCESSORI
Descrizione
ARRI CAVO SEGNALE PER ARRI 12/18KW  7MT
ARRI CAVO SEGNALE PER ARRI 2500/4000 7MT
ARRI CAVO SEGNALE PER ARRI ARRISUN 400
ARRI CAVO SEGNALE PER ARRI 575/1200/1800 7MT
ARRI CAVO SEGNALE PER ARRI 6000W 7MT
ARRI CAVO SEGNALE PER ARRI M8
ARRI CAVO SEGNALE PER ARRI M90
ARRI SET 4 RETI FILTRO PER ARRI 1200 COMPACT
ARRI SET 4 RETI FILTRO PER ARRI 2500 COMPACT
ARRI SET 4 RETI FILTRO PER ARRI 2500 FULL SIZ
ARRI SET 4 RETI FILTRO ARRI 4000/6000/12000
ARRI SET 4 RETI FILTRO PER ARRI 4000 COMPACT
ARRI SET 4 RETI FILTRO PER ARRI 575 COMPACT
ARRI SOFT TUBE PER POCKET PAR 200W
BATTERIA BALLAST 30V PER PAR 125

PAR HMI
Descrizione
ARRI MINIMAX M18 FLICKER FREE
ARRI MAX M40 FLICKER FREE
ARRI MAX M8 FLICKER FREE/HI SPEED
ARRI MAX M90 FLICKER FREE
ARRISUN 1200W HMI FLICKER FREE
ARRI POCKET PAR 125W KIT
ARRISUN 200W HMI FLICKER FREE
ARRISUN 2500W HMI FLICKER FREE
ARRISUN 400W HMI F.F. CON LENTI
ARRISUN 4000W HMI FLICKER FREE
ARRISUN 575W HMI FLICKER FREE
ARRISUN 6000W HMI FLICKER FREE
BATTERIA BALLAST 30V PER PAR 200
ARRI  X 1200W HMI
ARRI  X 2500W HMI
ARRI  X 4000W HMI
ARRI  X 6000W HMI

SAGOMATORI HMI
Descrizione
COEMAR SAGOMATORE 1200W HMI
COEMAR SAGOMATORE 2500W HMI

FLUORESCENTI
Descrizione
BANK KINO FLO 2X120 FLUOR.,DAYLIGHT
BANK KINO FLO 2X60 FLUOR.,DAYLIGHT
BANK KINO FLO 4X120 FLUOR.,DAYLIGHT
BANK KINO FLO 4X60 FLUOR.,DAYLIGHT
KIT KINO FLO BARFLY 100 INCL. GRIGLIE
KIT KINO FLO BARFLY 200 INCL. GRIGLIE
BANK KINO FLO DIVALIGHT 401
KINO FLO FLATHEAD 80 DAYLIGHT
SET 12V MINI KINO FLO
VALIGIA 5 LAMPADE 120CM. KINO FLO 3200°K
VALIGIA 5 LAMPADE 60CM. KINO FLO 3200°K
KINO FLO WALL-O-LIGHT

TUNGSTENO
Descrizione
ARRILITE 2000W PLUS
ARRILITE 750W PLUS
PHOTOFLOOD COSMOLIGHT  RC50 500W
GHOST SOFTBOX 5 KW
GHOST SOFTBOX LED
MINIBRUTO 6KW (6X1000W) CON BANDIERA
QUARZO 1000W CON BANDIERA
QUARZO 2000W CON STAFFA, BANDIERA, RETE
QUARZO 800W CON BANDIERA
ARRI SPOT FRESNEL ST1 TUNG. 1000W
ARRI SPOT FRESNEL  TUNG.10000W
ARRI SPOT FRESNEL TUNG. 150W.
ARRI SPOT FRESNEL ST2/3 TUNG. 3000W
ARRI SPOT FRESNEL ST2 TUNG. 2000W
ARRI SPOT FRESNEL TUNG. 300W.
ARRI SPOT FRESNEL ST5 TUNG. 5000W
ARRI SPOT FRESNEL TUNGSTENO 650W
TOTALIGHT LOWELL 800W CON GRIGLIA
KIT TOTALIGHT LOWELL
IANIRO BANK 50X50 800/1000W
IANIRO BANK 70X70 X QUARZO 2000W
ARRI CONO PER SPOT FRESNEL TUNG. 300W.
ARRI CONO PER SPOT FRESNEL TUNG. 650W.
CONO PER CASTOR-SIRIO 1200W

SAGOMATORI TUNGSTENO
Descrizione
OTTICA 19° PER SAGOMATORE ETC 750W
OTTICA 36° PER SAGOMATORE ETC 750W
OTTICA 50° PER SAGOMATORE ETC 750W
SAGOMATORE ETC 750W - OTTICA 36°
SAGOMATORE ETC 750W
SAGOMATORE ETC 750W  15-30 ZOOM
SAGOMATORE ETC 750W  25-50 ZOOM
MIP SAGOMATORE 1000W, IRIDE, ALETTE
COEMAR SAGOMATORE 1000w TUNGSTENO
COEMAR SAGOMATORE 2000w TUNGSTENO

LUCI LED
Descrizione
GEMINI LITEPANELS 30X30CM Soft RGBWW LED

LED KINO FLO
Descrizione
KINO FLO CELEB 200 DMX
KINO FLO CELEB 400 DMX CENTER MOUNT
KINO FLO FREESTYLE AIR LED PANEL 32X100 CM KIT
KINO FLO FREESTYLE AIR MAX PANEL 55X100 CM KIT
KINO FLO SELECT 20  DMX
KINO FLO SELECT 30  DMX
KINO SELECT 26V XV KIT BATTERIA (2 BATT)

LED ASTERA
Descrizione
ASTERA SET 8X LAMPADE LED NYX
ASTERA KIT 4 TUBI LED AX1 PIXEL TUBE 28W LED
ASTERA KIT 8 TUBI LED AX1 PIXEL TUBE 28W LED
ASTERA KIT 8 LUCI LED AX3
ASTERA KIT 8 TUBI LED FP2 HELIOS 55 CM.
CARICABATTERIA SINGOLO X TITAN /HELIOS
ASTERA KIT 8 TUBI LED TITAN FP1 PIXEL TUBE 72W LED
ASTERA LED WINGPLATE for Titan | Helios | AX1 | AX1-WP

LED TECPRO
Descrizione
FELLONI LED PANEL LIGHT 1X1 BICOLOR

LED DEDOLIGHT
Descrizione
ETC SOURCE FOUR LED SERIES 3 LUSTR X8
DEDOLIGHT DLED4-B 40W KIT
JOKER  300 FOCAL SPOT
JOKER  KIT 4X BATTERIA 48V 12AH
JOKER 300w BI-COLOR LED KIT

LED LITEPANELS
Descrizione
LITEPANELS ASTRA LED  LIGHT 1X1 BICOLOR

LED APUTURE
Descrizione
APUTURE LED MC 4-LIGHT TRAVEL KIT
APUTURE LED STORM 1000C
APUTURE LED LS 1200D PRO V-MOUNT  Mark II
APUTURE LED STORM 1200X
APUTURE LED  120d Mark II
APUTURE SPOTLIGHT MINI ZOOM OTTICA 15-30
APUTURE SPOTLIGHT CON LENTE 19°
APUTURE SPOTLIGHT MAX 19° KIT
APUTURE SPOTLIGHT CON LENTE 26°
APUTURE AMARAN LED 300C  RGBWW
APUTURE LED LS 300D V-MOUNT Mark II
APUTURE LED LS 300X V-MOUNT Mark II
APUTURE SPOTLIGHT CON LENTE 36°
APUTURE SPOTLIGHT MAX 36° KIT
APUTURE SPOTLIGHT MAX 50° KIT
APUTURE LED LS 600D PRO V-MOUNT Mark II
APUTURE LED LS 600C RGBWW COB Light (V-Mount)
APUTURE LED LS 600C PRO 2 RGBWW COB Light (V-Mount)
APUTURE LED LS 600X PRO V-MOUNT Mark II
APUTURE LED STORM 80C RGB
APUTURE ALETTE PER  LS 60X
APUTURE CF 12 ALETTE PER FRESNEL
APUTURE CF 4 ALETTE PER FRESNEL
APUTURE ALETTE x  F2X FRESNEL
APUTURE AMARAN LED  AL 198
APUTURE SET 8 BULBI LED ACCENT B7C
BOWENS CONO
APUTURE AMARAN LED F21C FLEXI RGBWW da 30x60 cm
APUTURE AMARAN LED F22C FLEXI RGBWW da 60x60 cm
APUTURE LED F10 FRESNEL
APUTURE LED  FRESNEL 2X
APUTURE CF 12 COMPACT FRESNEL
APUTURE CF 4 COMPACT FRESNEL
APUTURE SET GOBOS
APUTURE INFINIBAR PB12 KIT 8 TUBI
APUTURE LANTERN 60
APUTURE LANTERN 90
APUTURE LED MC 12-LIGHT TRAVEL KIT
APUTURE LIGHT DOME MINI 2  + GRIGLIA
APUTURE LIGHT DOME MINI 3  + GRIGLIA
APUTURE  LS 60X
APUTURE LED MT PRO-1 LIGHT KIT TUBO 30 CM.
APUTURE AMARAN LED P60c INCL. SOFTBOX E GRIGLIA
APUTURE LED P60X INCL. SOFTBOX E GRIGLIA
APUTURE SET 3 PARABOLE PER STORM 1200x
APUTURE SET 3 PARABOLE
APUTURE LIGHT DOME 90CM. Mark II SOFTBOX + GRIGLIA
APUTURE LIGHT OCTADOME 120  + GRIGLIA
APUTURE LIGHT DOME 150 Mark II SOFTBOX + GRIGLIA
APUTURE LIGHT DOME SE SOFTBOX + GRIGLIA
APUTURE SPACE LIGHT
APUTURE AMARAN T2 C TUBO 60CM
APUTURE AMARAN T4 C TUBO 120CM
APUTURE ALETTE x  F10 FRESNEL
ROTOLIGHT NEO 3 RGB LED

LED CREAMSORCE
Descrizione
VORTEX 8 CREAMSOURCE 650W RGB COMPOSTO DA
DOP CHOISESNAPBAG PER VORTEX 8
DOP CHOISESNAPGRID PER VORTEX 8
DOP CHOISESNAPGRID DIRETTA PER VORTEX 8

LED LUMIERE
Descrizione
LED LUMIERE DMG MINI MIX KIT

LED LUPO
Descrizione
LUPOLED 1120 DMX DUAL

NANLITE
Descrizione
NANLITE PAVO LED TUBE II 6C RGB
NANLITE NANLUX SOFTBOX LANTERNA 120 CM.KIT
NANLITE NANLUX SOFTBOX OCTA 150 CM.KIT
NANLITE NANLUX  PARABOLA 26 ' X  EVOKE 900/1200
NANLITE NANLUX  PARABOLA 30' ' X EVOKE 2400
NANLITE NANLUX  PARABOLA RF 60 ' X  EVOKE 900/1200
NANLITE NANLUX  PARABOLA 60' ' X EVOKE 2400
NANLITE NANLUX PARABOLA 6° PER EVOKE
NANLITE NANLUX - NL70 PARALLEL BEAM Parabola 6° per Evoke
NANLITE NANLUX NL Mount Projection 15-30°
NANLITE NANLUX SET PARABOLE 30' E 60' X EVOKE 2400
NANLITE NANLUX SOFTBOX 100X100 CM.KIT
NANLITE NANLUX SOFTBOX PARABOLICO 150 CM.KIT
NANLITE NANLUX EVOKE 1200B
NANLITE FL-28 FRESNEL 17° - 43°  PER EVOKE 1200
NANLITE NANLUX EVOKE 2400B Mount Reflector 45°
NANLITE NANLUX EVOKE 5000B SPOTLIGHT
NANLITE NANLUX EVOKE 900C
NANLUX ADATTATORE PER SAGOMATORE ETC
NANLUX WIREX CONTROLLER FOR EVOKE
NANLUX - FL-35E FRESNEL MOTORIZZATO LENTE 15°-46° 2400
NANLITE NANLUX - FL-45E FRESNEL MOTORIZZATO LENTE 16°-50° PER 5000
AURORA ALETTE 21 CM
AURORA CONO CON ATTACCO BOWENS
AURORA PARABOLA 34 CM. ATTACCO BOWENS
AURORA PARABOLA 21 CM ATTACCO BOWENS
AURORA SET 4 GRIGLIE 16.5 CM
AURORA SET 4 GRIGLIE 21 CM
AURORA SET 2 GRIGLIE 34 CM

BANK CHIMERA
Descrizione
CHIMERA BANK EXTRA SMALL 40X55
CHIMERA BANK LARGE 135X180 CM
CHIMERA BANK LARGE 135X180 CM. BIANCO
CHIMERA BANK MEDIUM 90X120 CM
CHIMERA BANK MEDIUM 90X120 CM. BIANCO
CHIMERA BANK SMALL 60X80 CM
CHIMERA BANK SMALL 60X80 CM. INT. BIANCO
CHIMERA BANK SMALL STRIP 20X90 CM.BIANCO
CHIMERA BANK EXTRA EXTRA SMALL 30x40
CHIMERA BANK LARGE STRIP 50X210 CM
CHIMERA BANK MEDIUM STRIP 35X140 CM
CHIMERA BANK MEDIUM STRIP 35X140  BIANCO
CHIMERA BANK SMALL STRIP 20X90 CM

CHIMERA ACCESSORI
Descrizione
CHIMERA GRIGLIA NIDO D'APE 90X120 DAYL
CHIMERA GRIGLIA NIDO D'APE  60X80DAYLIGHT
CHIMERA GRIGLIA NIDO D'APE X STRIP LARGE
CHIMERA GRIGLIA NIDO D'APE 40 IN STOFFA
CHIMERA GRIGLIA NIDO D'APE  L 135X180
CHIMERA GRIGLIA NIDO D'APE  M 90X120
CHIMERA GRIGLIA NIDO D'APE S 60X80
CHIMERA GRIGLIA NIDO D'APE  M  STRIP
CHIMERA GRIGLIA NIDO D'APE STRIP 20X90 CM.
CHIMERA GRIGLIA NIDO D'APE XS 40X55
CHIMERA GRIGLIA NIDO D'APE XXS 30X40

CHIMERA ADATTATORI
Descrizione
ADATTATORE  8 FORI RFI
ADATTATORE BOWENS / PROFOTO
BOWENS ADATTATORE CHIMERA
ADATTATORE CHIMERA BRONCOLOR PULSO
ELINCHROM ADATTATORE CHIMERA
PROFOTO ADATTATORE CHIMERA

STATIVI E FUSTONI
Descrizione
STATIVO MANFROTTO PROLUNGA PER BACKLITE 122B
STATIVO MANFROTTO STATIVO BACKLITE 003
STATIVO PIEDE DA PONTE CON RUOTE
STATIVO C-STAND KIT
STATIVO C-STAND
FUSTONE ARRI CON SNODO
STATIVO C-STAND PICCOLO
FUSTONE ARRI PICCOLO CON SNODO
STATIVO CINE CON RUOTE 3 SEZIONI
STATIVO LOW BOY CON RUOTE
STATIVO RANKER ALLUMINIO
STATIVO WIND UP CON RUOTE
GIRAFFA SUPERBOOM CON PESO + CINE
GIRAFFA MEGABOOM CON PESO + WIND UP

STATIVI LEGGERI
Descrizione
MANFROTTO STATIVO 052
MANFROTTO PROLUNGA PER BACKLITE 122B
MANFROTTO STATIVO BACKLITE 003
MANFROTTO STATIVO NANO 1051 (5 SEZIONI ALT. MAX 1.90MT)
PIEDE DA PONTE CON RUOTE
PIEDE DA PONTE NANO
STATIVO PUNTALE A1035CS
STATIVO AVENGER A0040CS
STATIVO CENTURY ACCIAIO CON BASE MOBILE
STATIVO CENTURY ALLUMINIO
STATIVO CENTURY ALLUMINIO PICCOLO
STATIVO CINE 008 CON RUOTE E ZOPPA
STATIVO CINE 007 CON RUOTE *ALTO*
STATIVO COMBO ALLUMINIO (ALT MAX 4,08MT)
STATIVO COMBO CON RUOTE (ALT. MAX 3,3MT)
STATIVO GIRAFFA COMBO
STATIVO COMBO LOW BOY A1020CS
STATIVO COMBO LOW BOY A1010CS
STATIVO AVENGER A5042CS CON RUOTE 36 BASE BASSA
STATIVO COMBO LOW BOY 3 SEZ.  A504CS
STATIVO COMBO LOW BOY CON RUOTE  A5012
MATTHEWS MAGIC STAND CON RUOTE
STATIVO MASTER/RANKER ALLUMINIO
STATIVO RANKER ALLUMINIO (ALT.MAX 2,9MT)
STATIVO RANKER ACCIAIO / COMPASSO(ALT. MAX 2,9MT) A0030CS

STATIVI PESANTI
Descrizione
AVENGER STATIVO A 3065 OVERHEAD
AVENGER STATIVO A 320 OVERHEAD 56
AVENGER STATIVO A 700 HIGH 5.70 MT. CON GIRAFFA
AVENGER BUCCANEER STAND
CRANK UP 420 CON RUOTE,ZOPPA E CREMAGL.
CRANK UP 610 CON RUOTE,ZOPPA E CREMAGL.
STATIVO LONG JOHN AVENGER SILVER
CRANK UP MINI (AMBROGINO) CON RUOTE
STATIVO SUPER WIND UP
STATIVO WIND UP CON RUOTE
BRACCIO GIRAFFA ESTENS. CON FORO 17 E 28
BRACCIO GIRAFFA CON COMANDI LUNGH. 2,70
MANFROTTO C-STAND KIT 30 Deta-chable
AVENGER D600 MINI BOOM ARM
AVENGER D650 MINI BOOM ARM
AVENGER A4050CS COMBO BOOM STAND
MANFROTTO 420B STATIVO RANKER CON GIRAFFA
GIRAFFA FLB-48 FLAMINGO PROAIM
REDWING 1201 CAMBO GIRAFFA CON 2 CONTRAP
GIRAFFA MEGABOOM CON PESO
MENACE ARM KIT

ACCESSORI STATIVI
Descrizione
AVENGER BARRA A T
AVENGER BARRA TORO PERNO 17
AVENGER BARRA TORO PERNO 28
CAVO SICUREZZA CON MOSCHETTONE
C CLAMP, MORSETTO PER PROFILATI
CLAMP SINGOLA MANFROTTO 035
SET CROK CLIPS (10 PEZZI )
DOPPIACLAMP
DUCK BILL CLAMP
MAGIC ARM (BRACCIO SNODATO) MANFROTTO 044
PINZETTA / SPRING CLAMP 275
PINZONE 1000
PINZONE 2000
PINZONE REGOLABILE AVENGER C1525
AVENGER C 827 ASTA TELESCOPICA
AVENGER CANNA ESTENDIBILE 1,25 MT -2,10 MT
MEZZA CANNA ESTENDIBILE ALT 0,50 MT
QUARTO DI CANNA ALT 0,25MT
PESO IN METALLO 4KG
PESO IN METALLO 7 KG
PESO IN TELA CON SABBIA 10 KG
PESO IN TELA CON SABBIA 7 KG

FARFALLE E LASTOLITE
Descrizione
LASTOLITE KIT 2X1 INCL. TELI
LASTOLITE KIT 2X2 INCL. TELI
FARFALLA 180X180 CM
FARFALLA 400X400 CM
FARFALLA 600X600 CM
TELO PER FARFALLA ARGENTO 180X180
TELO PER FARFALLA ARGENTO 360x360
TELO PER FARFALLA ARGENTO 600X600
TELO PER FARFALLA BEMBERG 180X180
TELO PER FARFALLA BEMBERG 360x360
TELO PER FARFALLA BEMBERG 600X600
TELO PER FARFALLA BIANCO OTTICO 180X180
TELO PER FARFALLA BIANCO OTTICO 360X360
TELO PER FARFALLA BIANCO OTTICO 600X600
TELO PER FARFALLA SILK 180X180 1/2 
TELO PER FARFALLA SILK 180X180 1/4 
TELO PER FARFALLA SILK 360X360 1/2 
TELO PER FARFALLA SILK 360X360 1/4 
TELO PER FARFALLA SILK 600X600 1/2
TELO PER FARFALLA SILK 600X600 1/4
TELO PER FARFALLA GRID CLOTH 180X180 FULL
TELO PER FARFALLA GRID CLOTH 180X180 1/2 
TELO PER FARFALLA GRID CLOTH 180X180 1/4 
TELO PER FARFALLA GRID CLOTH 360X360 FULL
TELO PER FARFALLA GRID CLOTH 360X360 1/2 
TELO PER FARFALLA GRID CLOTH 360X360 1/4 
TELO PER FARFALLA GRID CLOTH 600X600 FULL
TELO PER FARFALLA GRID CLOTH 600X600 1/2
TELO PER FARFALLA GRID CLOTH 600X600 1/4
